roi_number,Area,Biovolume,BoundingBox_xwidth,BoundingBox_ywidth,ConvexArea,ConvexPerimeter,Eccentricity,EquivDiameter,Extent,MajorAxisLength,MinorAxisLength,Orientation,Perimeter,RepresentativeWidth,Solidity,SurfaceArea,maxFeretDiameter,minFeretDiameter,numBlobs,summedArea,summedBiovolume,summedConvexArea,summedConvexPerimeter,summedMajorAxisLength,summedMinorAxisLength,summedPerimeter,summedSurfaceArea,Area_over_PerimeterSquared,Area_over_Perimeter,summedConvexPerimeter_over_Perimeter
31,490,7805.025148456041,25,26,506.3522281567301,77.70445631346018,0.3704030576780727,24.977737626138797,0.7538461538461538,26.00170634320149,24.152234334955963,-86.89052748519262,81.01219330881976,18.76923076923077,0.9677058236392936,2022.4547269177688,26.925804799233422,25.0,1,490,7805.025148456041,506.3522281567301,77.70445631346018,26.00170634320149,24.152234334955963,81.01219330881976,2022.4547269177688,0.0746612573268216,6.048472211240007,0.9591698871458716
32,172,1429.948256158954,18,13,179.74897264980797,46.497945299615864,0.6679136020865323,14.798554040663838,0.7350427350427351,17.32114201117402,12.891066279262517,-5.790448903205373,48.04163056034261,9.444444444444445,0.9568900309382867,661.1552445465447,18.97311925956245,13.0,1,172,1429.948256158954,179.74897264980797,46.497945299615864,17.32114201117402,12.891066279262517,48.04163056034261,661.1552445465447,0.07452345284092766,3.580228189464962,0.9678677588016542
33,166,1268.679833274678,18,13,177.4349646381084,46.869929276216695,0.7859889036250504,14.538148590038452,0.7094017094017094,18.656918843315115,11.534464758536528,14.93587859902749,49.21320343559643,8.736842105263158,0.9355540512467154,656.9631845138236,19.313023323766732,12.455965590760217,1,166,1268.679833274678,177.4349646381084,46.869929276216695,18.656918843315115,11.534464758536528,49.21320343559643,656.9631845138236,0.06854011315120322,3.373078532008962,0.9523852544481017
34,187,1758.7682872346857,17,15,199.85247650115505,48.70495300231017,0.504737947378395,15.430353037616328,0.7333333333333333,16.79201560493375,14.496087189978887,26.20342261859136,51.45584412271571,10.277777777777779,0.9356901814470097,762.5487626508759,18.600892690841416,15.0,1,187,1758.7682872346857,199.85247650115505,48.70495300231017,16.79201560493375,14.496087189978887,51.45584412271571,762.5487626508759,0.0706272330515656,3.6341838947200737,0.9465388010379343
35,149,1217.4980529599443,17,13,160.29765381854412,45.59530763708826,0.6340542986590628,13.773623058786647,0.6742081447963801,16.272955951645635,12.583690141594284,14.077727198730457,47.59188309203678,8.705882352941176,0.9295207786925379,643.4769390515534,17.464095318724457,13.0,1,149,1217.4980529599443,160.29765381854412,45.59530763708826,16.272955951645635,12.583690141594284,47.59188309203678,643.4769390515534,0.0657840322617198,3.1307859727225447,0.9580479837058057
36,292,2880.9713630357396,24,18,316.70797404535756,64.41594809071506,0.8344216495043942,19.281751659604673,0.6759259259259259,26.370549506672823,14.533510849797114,-24.644066229284505,68.76955262170047,11.8,0.92198499542099,1166.71304423364,26.07592781470624,15.695818181153903,1,292,2880.9713630357396,316.70797404535756,64.41594809071506,26.370549506672823,14.533510849797114,68.76955262170047,1166.71304423364,0.061743387545188815,4.246065138830907,0.9366928478518034
37,51,85.04385653751702,33,4,102.04661048529124,65.09322097058289,0.9976308828800879,8.058239062071396,0.38636363636363635,38.03263611386591,2.6164191280817244,-1.1780019251064857,50.142135623730944,2.235294117647059,0.4997716215900284,163.44052799103588,33.05944655938683,4.000000000000001,1,51,85.04385653751702,102.04661048529124,65.09322097058289,38.03263611386591,2.6164191280817244,50.142135623730944,163.44052799103588,0.020284510021228455,1.0171086525453665,1.2981740837495561
38,211,1581.5301016946617,27,12,231.73713470076,59.474269401519884,0.8762404784139209,16.39065416446578,0.6512345679012346,23.910194408331254,11.521702809412748,3.3763823899033127,61.49137802864844,7.814814814814815,0.9105144079409729,757.8641003742896,27.458050219664273,12.000000000000002,1,211,1581.5301016946617,231.73713470076,59.474269401519884,23.910194408331254,11.521702809412748,61.49137802864844,757.8641003742896,0.05580254467275689,3.431375369433036,0.9671968869165886
39,157,1122.5957748827527,19,11,167.806130810728,46.61226162145602,0.8226979398698274,14.138550439257221,0.7511961722488039,18.988619148403547,10.794626653614486,6.773649724672509,49.21320343559643,8.263157894736842,0.9356034802869243,597.8645985626287,19.646685925004903,11.0,1,157,1122.5957748827527,167.806130810728,46.61226162145602,18.988619148403547,10.794626653614486,49.21320343559643,597.8645985626287,0.06482408292011389,3.1902007802735364,0.9471495120705937
40,170,1379.6827737015174,18,13,181.27283091959012,46.54566183918026,0.7301512240634329,14.712264360219255,0.7264957264957265,17.927438176772753,12.249560073376477,8.506770430405965,48.62741699796952,9.444444444444445,0.9378129041048044,679.4946944147104,18.97311925956245,12.951962380196177,1,170,1379.6827737015174,181.27283091959012,46.54566183918026,17.927438176772753,12.249560073376477,48.62741699796952,679.4946944147104,0.0718929854978226,3.4959701850315943,0.9571896825431591
